ID,4Q,annotator,id
Q1_0vLPYiPN7qY_0,1,D,1
Q1_0vLPYiPN7qY_1,1,D,2
Q1_0vLPYiPN7qY_2,1,D,3
Q1_1Qc15G0ZHIg_1,1,D,4
Q1_1Qc15G0ZHIg_2,1,D,5
Q1_1Qc15G0ZHIg_3,1,D,6
Q1_1vjy9oMFa8c_2,1,D,7
Q1_1vjy9oMFa8c_4,1,D,8
Q1_1vjy9oMFa8c_5,1,D,9
Q1_2Z9SjI131jA_0,1,C,10
Q1_2Z9SjI131jA_1,1,C,11
Q1_2Z9SjI131jA_10,1,C,12
Q1_2Z9SjI131jA_11,1,C,13
Q1_2Z9SjI131jA_12,1,C,14
Q1_2Z9SjI131jA_13,1,C,15
Q1_2Z9SjI131jA_14,1,C,16
Q1_2Z9SjI131jA_15,1,C,17
Q1_2Z9SjI131jA_2,1,C,18
Q1_2Z9SjI131jA_3,1,C,19
Q1_2Z9SjI131jA_4,1,C,20
Q1_2Z9SjI131jA_7,1,C,21
Q1_2Z9SjI131jA_8,1,C,22
Q1_2Z9SjI131jA_9,1,C,23
Q1_3N2G21U7guk_3,1,D,24
Q1_3N2G21U7guk_5,1,D,25
Q1_3N2G21U7guk_6,1,D,26
Q1_3ahg_eQZhxs_0,1,D,27
Q1_3ahg_eQZhxs_1,1,D,28
Q1_4dXC1cC7crw_0,1,D,29
Q1_4dXC1cC7crw_1,1,D,30
Q1_4ydjOX3pWds_0,1,D,31
Q1_4ydjOX3pWds_1,1,D,32
Q1_5Ju9q1N2x0E_2,1,D,33
Q1_5NW0zDu6IYM_2,1,D,34
Q1_60LLKmpgzRM_0,1,D,35
Q1_6Uf9XBUD3wE_0,1,D,36
Q1_6Uf9XBUD3wE_1,1,D,37
Q1_6kRPHamGDSo_0,1,D,38
Q1_6kRPHamGDSo_1,1,D,39
Q1_6kRPHamGDSo_3,1,D,40
Q1_6wFJhmhNeeg_0,1,A,41
Q1_7yW9c7t8Hq0_1,1,D,42
Q1_7yW9c7t8Hq0_2,1,D,43
Q1_7yW9c7t8Hq0_3,1,D,44
Q1_8izVTDgBQPc_0,1,D,45
Q1_8izVTDgBQPc_1,1,D,46
Q1_8rupdevqfuI_0,1,D,47
Q1_8rupdevqfuI_1,1,D,48
Q1_8rupdevqfuI_2,1,D,49
Q1_94ROf10d1iA_0,1,D,50
